hcrt_url,format
https://w3id.org/kim/hcrt/application,Software
https://w3id.org/kim/hcrt/assessment,Assessment
https://w3id.org/kim/hcrt/audio,Sounds
https://w3id.org/kim/hcrt/case_study,CaseStudy
https://w3id.org/kim/hcrt/course,WorkingManuscripts
https://w3id.org/kim/hcrt/data,ComputerData
https://w3id.org/kim/hcrt/diagram,Drawing
https://w3id.org/kim/hcrt/drill_and_practice,DrillAndPractice
https://w3id.org/kim/hcrt/educational_game,Game
https://w3id.org/kim/hcrt/experiment,Experiment
https://w3id.org/kim/hcrt/image,Drawing
https://w3id.org/kim/hcrt/index,ReferenceWork
https://w3id.org/kim/hcrt/lesson_plan,WorkingManuscripts
https://w3id.org/kim/hcrt/map,Map
https://w3id.org/kim/hcrt/portal,Website
https://w3id.org/kim/hcrt/questionnaire,Questionnaire
https://w3id.org/kim/hcrt/script,Manuscript
https://w3id.org/kim/hcrt/simulation,Simulation
https://w3id.org/kim/hcrt/slide,Slide
https://w3id.org/kim/hcrt/text,Textbook
https://w3id.org/kim/hcrt/textbook,Book
https://w3id.org/kim/hcrt/video,Video
https://w3id.org/kim/hcrt/web_page,Website
https://w3id.org/kim/hcrt/worksheet,WorkingManuscripts
https://w3id.org/kim/hcrt/other,Unknown
