"resourcetype","hcrt_uri"
"Kurs","https://w3id.org/kim/hcrt/course"
"SCORM-Inhalt","https://w3id.org/kim/hcrt/worksheet"
"Test","https://w3id.org/kim/hcrt/assessment"
"Fragebogen","https://w3id.org/kim/hcrt/questionnaire"
"Wiki","https://w3id.org/kim/hcrt/index"
"Blog","https://w3id.org/kim/hcrt/web_page"
"Ressourcenordner","https://w3id.org/kim/hcrt/worksheet"
"CP-Lerninhalt","https://w3id.org/kim/hcrt/other"
"Glossar","https://w3id.org/kim/hcrt/index"
"Podcast","https://w3id.org/kim/hcrt/audio"
"Lernkartei","https://w3id.org/kim/hcrt/drill_and_practice"
"Mediathek","https://w3id.org/kim/hcrt/worksheet"
"PDF-Datei","https://w3id.org/kim/hcrt/text"
"Portfoliovorlage","https://w3id.org/kim/hcrt/other"
